WorksPlace;WorkYear;OnTerritoryOfMoscow;AdmArea;District;WorksBeginDate;PlannedEndDate;ActualBeginDate;ActualEndDate;WorksType;WorksStatus;WorkReason;Customer;Contractor;global_id;geoData;geodata_center
Место проведения;Год проведения работ;Объект расположен в пределах границ города Москвы;Административный округ;Район;Плановая дата начала выполнения работ;Плановая дата окончания работ;Фактическая дата начала выполнения работ;Фактическая дата окончания работ;Тип работ;Статус работ;Основание проведения работ;Заказчик;Подрядчик;global_id;geoData;geodata_center
Митинский путепровод;2024;да;Северо-Западный административный округ;район Митино;15.04.2024;30.11.2024;;;текущий ремонт асфальтобетонного покрытия;не начаты;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643826183;{coordinates=[[[37.388802767, 55.834008732], [37.38969326, 55.833586963], [37.390455008, 55.833339925], [37.391345501, 55.833116987], [37.392225266, 55.832960327], [37.393094301, 55.832900073], [37.393974066, 55.832881997]], [[37.388727665, 55.833912328], [37.389628887, 55.833538761], [37.390841246, 55.833147114], [37.391463518, 55.833026607], [37.392268181, 55.832912124], [37.393298149, 55.832755463], [37.393759489, 55.832689184], [37.393941879, 55.832677133]]], type=MultiLineString};{coordinates=[37.391345501, 55.833116987], type=Point}
местный проезд вдоль Пятницкого шоссе (четная сторона);2024;да;Северо-Западный административный округ;район Митино;15.04.2024;30.11.2024;18.04.2024;;текущий ремонт асфальтобетонного покрытия;идут;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643826226;{coordinates=[[[37.355875969, 55.856729268], [37.356240749, 55.856650985], [37.358096838, 55.855723629], [37.362109423, 55.853754428]], [[37.362109423, 55.853754428], [37.362077236, 55.853670118], [37.361530066, 55.853320829]], [[37.383711934, 55.842637413], [37.384361029, 55.842245858], [37.38462925, 55.842056103], [37.38499403, 55.841782011], [37.385562658, 55.841318158], [37.386179566, 55.84073984], [37.387129068, 55.839655471], [37.387595773, 55.838905431], [37.387756705, 55.838426483], [37.387869358, 55.837941503], [37.388062477, 55.836838982], [37.387729883, 55.83681187]], [[37.387676239, 55.837170344], [37.387998104, 55.837188418]]], type=MultiLineString};{coordinates=[37.384361029, 55.842245858], type=Point}
Казенный Б. пер.;2024;да;Центральный административный округ;Басманный район;15.04.2024;31.10.2024;05.05.2024;26.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643826233;{coordinates=[[[37.651930153, 55.759722091], [37.653142512, 55.759839807], [37.654113472, 55.759969597], [37.657439411, 55.760377072]]], type=MultiLineString};{coordinates=[37.654113472, 55.759969597], type=Point}
местный проезд вдоль Пятницкого шоссе (нечетная сторона);2024;да;Северо-Западный административный округ;район Митино;15.04.2024;30.11.2024;20.04.2024;;текущий ремонт асфальтобетонного покрытия;идут;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643826279;{coordinates=[[[37.346048355, 55.860095259], [37.354073524, 55.856259571], [37.356337309, 55.855151547], [37.361197472, 55.852754735]], [[37.357764244, 55.854459016], [37.357399464, 55.855043152]], [[37.35503912, 55.855783847], [37.355328798, 55.856072896]], [[37.3612082, 55.852754735], [37.367538214, 55.849659135]], [[37.365124226, 55.850857655], [37.365210056, 55.851225034]], [[37.365961075, 55.85043607], [37.366551161, 55.850598682]], [[37.367119789, 55.849851865], [37.367806435, 55.849966297]], [[37.367430925, 55.849695272], [37.368021011, 55.849833796]], [[37.367538214, 55.849653112], [37.373460531, 55.84676808]], [[37.37052083, 55.848201588], [37.370327711, 55.84870752]], [[37.373439074, 55.846774103], [37.378674746, 55.844184018]], [[37.37762332, 55.844726143], [37.377934456, 55.844991179]], [[37.378674746, 55.844190041], [37.382590771, 55.8422564], [37.383996248, 55.841358821], [37.384918928, 55.840605802], [37.385981083, 55.839370819], [37.386485338, 55.838424976], [37.386721373, 55.837063405], [37.386968136, 55.835894584], [37.38692522, 55.835659611], [37.386657, 55.835496936], [37.38637805, 55.835448736], [37.385873795, 55.835436686], [37.385519743, 55.835478861]], [[37.386785746, 55.836762166], [37.387504578, 55.835852409]], [[37.386893034, 55.836364526], [37.387182713, 55.836382601], [37.387365103, 55.836412725]], [[37.38278389, 55.842135921], [37.383159399, 55.842352783]]], type=MultiLineString};{coordinates=[37.356337309, 55.855151547], type=Point}
Маршала Рыбалко улица;2024;да;Северо-Западный административный округ;район Щукино;15.04.2024;30.11.2024;20.08.2024;;текущий ремонт асфальтобетонного покрытия;идут;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643826316;{coordinates=[[[37.482948303, 55.800494009], [37.485769987, 55.79904065], [37.486628294, 55.7987753], [37.490565777, 55.797490742], [37.493838072, 55.796429291], [37.494481802, 55.796103613], [37.495704889, 55.795488435]]], type=MultiLineString};{coordinates=[37.490565777, 55.797490742], type=Point}
Казенный М. пер.;2024;да;Центральный административный округ;Басманный район;15.04.2024;31.10.2024;05.05.2024;26.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643826325;{coordinates=[[[37.651967704, 55.75977944], [37.65329808, 55.760340852], [37.654821575, 55.761173899], [37.654896677, 55.761213137], [37.655669153, 55.761394231], [37.656688392, 55.761614562], [37.65717119, 55.761723218]]], type=MultiLineString};{coordinates=[37.654821575, 55.761173899], type=Point}
Маршала Новикова улица;2024;да;Северо-Западный административный округ;район Щукино;15.04.2024;30.11.2024;03.09.2024;;текущий ремонт асфальтобетонного покрытия;идут;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643826326;{coordinates=[[[37.457971573, 55.806481759], [37.467391491, 55.802465907]], [[37.467380762, 55.802459877], [37.471318245, 55.800831711]]], type=MultiLineString};{coordinates=[37.467380762, 55.802459877], type=Point}
Маршала Мерецкова улица;2024;да;Северо-Западный административный округ;район Щукино;15.04.2024;30.11.2024;03.09.2024;;текущий ремонт асфальтобетонного покрытия;идут;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643826334;{coordinates=[[[37.48647809, 55.795434154], [37.48961091, 55.793811726]], [[37.489782572, 55.793709191], [37.490404844, 55.793401584]]], type=MultiLineString};{coordinates=[37.48961091, 55.793811726], type=Point}
Калитниковская Б. ул.;2024;да;Центральный административный округ;Таганский район;15.04.2024;30.11.2024;05.09.2024;;текущий ремонт асфальтобетонного покрытия;идут;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643826343;{coordinates=[[[37.674311846, 55.738137805], [37.68375054, 55.737005274], [37.683999985, 55.736976582], [37.686934322, 55.736719871], [37.688420266, 55.736608125], [37.691282183, 55.73634688], [37.694752961, 55.73602674], [37.696367651, 55.73587422], [37.696563452, 55.735845528]]], type=MultiLineString};{coordinates=[37.683999985, 55.736976582], type=Point}
Проезд от Пятницкого ш. к АЗС Лукойл;2024;да;Северо-Западный административный округ;район Митино;15.04.2024;31.10.2024;22.04.2024;11.06.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643826348;{coordinates=[[[37.379103899, 55.845534799], [37.379978299, 55.845080026]]], type=MultiLineString};{coordinates=[37.379978299, 55.845080026], type=Point}
Калмыков пер. (Андриановский пер.);2024;да;Центральный административный округ;Мещанский район;15.04.2024;31.10.2024;14.06.2024;26.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643826360;{coordinates=[[[37.627642751, 55.775269625], [37.628822923, 55.775378243]]], type=MultiLineString};{coordinates=[37.627642751, 55.775269625], type=Point}
